Term,Freq,Total,Category,logprob,loglift
network,85.18507961453722,406.4553502183692,Topic1,-5.6493,0.0483
number,74.76496737398985,233.5734692604626,Topic1,-5.7798,0.4718
learn,75.31236700436044,279.71018240313083,Topic1,-5.7725,0.2988
paper,75.05016524061763,287.17025525152786,Topic1,-5.776,0.269
vehicle,43.74980495937254,46.84232915984134,Topic2,-6.2424,1.6158
developer,14.474374080737956,15.685834342835191,Topic2,-7.3485,1.6037
robot,72.34068481927228,78.61866688541801,Topic2,-5.7395,1.6009
country,14.649547933635802,15.963253685172473,Topic2,-7.3365,1.5982
city,16.320582070764274,17.983293220005784,Topic2,-7.2285,1.5871
tweet,10.813410543129448,12.024872394055778,Topic2,-7.6401,1.5779
transaction,10.420571968642692,11.632548314616335,Topic2,-7.6771,1.5741
company,13.50340058249911,15.089873887737415,Topic2,-7.418,1.573
market,35.82634730324891,40.13849652912911,Topic2,-6.4422,1.5705
service,35.821399071708505,40.176632265930934,Topic2,-6.4424,1.5694
road,14.662898220320626,16.471912330090646,Topic2,-7.3356,1.5678
app,9.738839960488724,10.950680246991967,Topic2,-7.7448,1.5668
cache,14.764151688700366,16.625411923494404,Topic2,-7.3287,1.5654
urban,14.369775055711168,16.230050082325445,Topic2,-7.3558,1.5624
opinion,15.594043237930151,17.74413301897903,Topic2,-7.274,1.555
social,66.808072648935,76.14994763369755,Topic2,-5.8191,1.5532
cyber,9.509868765313625,10.871062525266403,Topic2,-7.7686,1.5503
political,9.003896484067685,10.30096003867564,Topic2,-7.8233,1.5495
infrastructure,14.128023313969292,16.16744287358747,Topic2,-7.3728,1.5493
software,54.01684081376759,61.81794128728582,Topic2,-6.0316,1.5492
bug,8.32843894104703,9.539896197416178,Topic2,-7.9012,1.5483
client,8.073001532802891,9.284665169149843,Topic2,-7.9324,1.5443
citation,13.485378805747281,15.517614024380292,Topic2,-7.4193,1.5438
society,11.010156048785511,12.673255934407948,Topic2,-7.6221,1.5434
internet,18.090357243180204,20.83879485613983,Topic2,-7.1255,1.5427
customer,14.854271185387873,17.13555107398205,Topic2,-7.3226,1.5413
ecosystem,8.583658278973257,9.903223092036397,Topic2,-7.8711,1.5411
security,32.5527704601059,37.6352162854492,Topic2,-6.538,1.539
consumer,9.332255256289658,10.805609480328604,Topic2,-7.7874,1.5375
provider,8.63117510933982,9.998196979493752,Topic2,-7.8655,1.5371
navigation,14.016164041889207,16.23746230761367,Topic2,-7.3807,1.537
management,22.073554317224943,25.775620156680823,Topic2,-6.9265,1.5291
participant,15.08410613874494,17.5847360996078,Topic2,-7.3073,1.5307
user,103.49895313391961,127.07998946204812,Topic2,-5.3814,1.4789
traffic,31.21435131596632,36.9536065786584,Topic2,-6.58,1.5153
web,28.734366284577654,34.63587296986216,Topic2,-6.6628,1.4973
industry,16.134212609890227,18.917454754986213,Topic2,-7.24,1.525
people,25.27114214569686,30.683791106505883,Topic2,-6.7912,1.49
mobile,28.27046216033047,35.16837261430084,Topic2,-6.6791,1.4658
plan,25.752043176350362,32.26927615310132,Topic2,-6.7724,1.4585
safety,18.67251201746966,22.465905926895346,Topic2,-7.0939,1.4992
autonomous,23.005330820504764,28.552024800163846,Topic2,-6.8852,1.4681
agent,63.11265860919365,91.620668293641,Topic2,-5.876,1.3114
planning,22.082791802101777,27.409545251172613,Topic2,-6.9261,1.468
price,28.328392982474274,36.89395642350168,Topic2,-6.677,1.4199
game,50.13081391755011,73.57850203707034,Topic2,-6.1063,1.3004
robotic,24.92668023560876,32.05519105681847,Topic2,-6.805,1.4326
human,56.936148650055586,91.52385655214857,Topic2,-5.979,1.2095
research,55.42480177662264,88.97106980692489,Topic2,-6.0059,1.2108
platform,30.64036094974594,42.25693971280473,Topic2,-6.5986,1.3627
environment,52.19662378708375,86.35160723000439,Topic2,-6.0659,1.1807
resource,35.25497626395126,51.558288562797436,Topic2,-6.4583,1.304
community,43.14352580788205,69.10653358470462,Topic2,-6.2564,1.213
controller,26.216038228617172,35.46648236616904,Topic2,-6.7545,1.3819
privacy,28.293741072694914,40.01939125108133,Topic2,-6.6783,1.3374
communication,39.77296850326895,67.57958667171259,Topic2,-6.3377,1.154
technology,29.818685854842744,44.81711951212814,Topic2,-6.6258,1.2767
sensor,35.50440135990644,59.74346215454666,Topic2,-6.4513,1.1637
network,110.59223416189177,406.4553502183692,Topic2,-5.3151,0.3825
control,61.00091190104407,151.67278473155113,Topic2,-5.91,0.7733
information,67.03762409253108,179.45056462086802,Topic2,-5.8157,0.6995
datum,99.27542697667641,378.52109401380716,Topic2,-5.423,0.3457
use,108.13957348897773,472.10802832096033,Topic2,-5.3375,0.2103
design,58.99946377315457,153.90463703071316,Topic2,-5.9434,0.7253
base,81.97659882350924,326.02565863128706,Topic2,-5.6145,0.3036
model,106.92653428216198,582.0901093021098,Topic2,-5.3488,-0.0104
paper,75.51450204563199,287.17025525152786,Topic2,-5.6966,0.3484
approach,70.68141783738146,296.7214449441328,Topic2,-5.7627,0.2495
time,71.87675542280252,335.00122423665124,Topic2,-5.746,0.1449
present,62.3846805209699,252.26178349369826,Topic2,-5.8876,0.287
analysis,56.97350262081167,206.26671162638053,Topic2,-5.9783,0.3975
propose,67.84195790117936,328.9850864084331,Topic2,-5.8037,0.1053
provide,60.288600511833955,241.6846233288548,Topic2,-5.9218,0.2956
application,54.18487082397977,193.28745183252758,Topic2,-6.0285,0.4123
different,53.197712644445545,202.90243630440798,Topic2,-6.0469,0.3454
process,51.5622672481465,200.2610435987669,Topic2,-6.0781,0.3273
performance,51.55477382645371,201.45989795448065,Topic2,-6.0783,0.3212
result,54.553043201768,362.7529230659266,Topic2,-6.0217,-0.2104
method,53.43466905986013,417.30303880781,Topic2,-6.0425,-0.3712
problem,52.2199388355143,368.67094071652826,Topic2,-6.0654,-0.2703
rnn,23.64760533671952,25.114190965828765,Topic3,-6.6457,1.8359
dnn,22.36540734299719,24.045454207378764,Topic3,-6.7015,1.8236
speech,42.79139684401287,46.23244435775997,Topic3,-6.0526,1.8187
convolutional,50.509067243719144,54.86547748973172,Topic3,-5.8868,1.8133
cnn,14.694938466115293,16.110392252445745,Topic3,-7.1215,1.8041
speaker,23.1552490228458,25.641944323736706,Topic3,-6.6668,1.7941
segmentation,34.53384345571536,38.350823836944016,Topic3,-6.267,1.7912
autoencoder,19.60644139122527,22.280635278355625,Topic3,-6.8331,1.7682
tumor,10.454739709949987,11.903790302280623,Topic3,-7.4619,1.7663
nmt,8.316935034177684,9.527458549525042,Topic3,-7.6907,1.7602
lstm,13.639939461258981,15.672254521408874,Topic3,-7.196,1.7572
resnet,9.437085187112855,10.862682466904765,Topic3,-7.5643,1.7554
cnns,7.67696860239979,8.88749834799189,Topic3,-7.7707,1.7496
phenotype,9.109403447184452,10.547920659694936,Topic3,-7.5997,1.7494
discriminative,13.84216658021012,16.16152001495827,Topic3,-7.1813,1.7411
utterance,7.128896601003217,8.341509521275729,Topic3,-7.8448,1.739
saliency,7.063633105388474,8.274165359432445,Topic3,-7.854,1.7379
supervision,10.221421386034708,12.102547323117406,Topic3,-7.4845,1.7271
mnist,13.060877798579638,15.468102217968376,Topic3,-7.2394,1.7269
rnns,6.347762049116979,7.558302795827337,Topic3,-7.9609,1.7215
lesion,6.888387930038061,8.21533748266692,Topic3,-7.8791,1.7199
adversarial,57.20374361781966,68.47032744311788,Topic3,-5.7624,1.7163
encoder,19.038455458870686,22.866344481674325,Topic3,-6.8625,1.7129
audio,17.564432827331952,21.245478684716222,Topic3,-6.9431,1.7058
facial,8.94614006896388,10.86415116869841,Topic3,-7.6178,1.7018
patient,28.552207147160743,34.83437180990088,Topic3,-6.4572,1.6972
cancer,15.585173685623738,19.047019603401107,Topic3,-7.0627,1.6955
spectrogram,5.4478095338771775,6.658346328158011,Topic3,-8.1138,1.6954
vae,5.730853051978001,7.055363391613609,Topic3,-8.0631,1.6881
distillation,5.228583373549242,6.439265037141041,Topic3,-8.1548,1.6878
train,91.26614841645666,113.07148963081119,Topic3,-5.2952,1.6818
recognition,38.40550429858625,47.450553403859,Topic3,-6.1608,1.6846
neural,137.96419843987408,172.95440607832248,Topic3,-4.882,1.67
recurrent,31.023801209985805,38.500188260932354,Topic3,-6.3742,1.6802
image,146.11238116913358,193.9984946578672,Topic3,-4.8246,1.6126
training,99.07198165922019,130.90243987630708,Topic3,-5.2131,1.6175
deep,117.68781816604937,158.1096059757405,Topic3,-5.0409,1.6008
